DXCode,Description,"2020 CMS-HCC
Model
Category
(V24) ",V24 HCC Description,V28ID,V28HCCDescription,"2020 CMS-HCC Model
Category
(V24) for 2024
Payment Year","2024 Proposed CMS-HCC Model
Category
(V28) for 2024
Payment Year",Same HCC Description  
J668,Airway disease due to other specific organic dusts,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J670,Farmer's lung,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J671,Bagassosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J672,Bird fancier's lung,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J673,Suberosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J674,Maltworker's lung,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J675,Mushroom-worker's lung,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J676,Maple-bark-stripper's lung,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J677,Air conditioner and humidifier lung,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J678,Hypersensitivity pneumonitis due to other organic dusts,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J679,Hypersensitivity pneumonitis due to unspecified organic dust,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J680,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapors",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J681,"Pulmonary edema due to chemicals, gases, fumes and vapors",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J682,"Upper respiratory inflammation due to chemicals, gases, fumes and vapors, not elsewhere classified",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J683,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapors",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J684,"Chronic respiratory conditions due to chemicals, gases, fumes and vapors",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J688,"Other respiratory conditions due to chemicals, gases, fumes and vapors",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J689,"Unspecified respiratory condition due to chemicals, gases, fumes and vapors",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J690,Pneumonitis due to inhalation of food and vomit,114,Aspiration and Specified Bacterial Pneumonias,282,Aspiration and Specified Bacterial Pneumonias,Yes,Yes,SAME
J691,Pneumonitis due to inhalation of oils and essences,114,Aspiration and Specified Bacterial Pneumonias,282,Aspiration and Specified Bacterial Pneumonias,Yes,Yes,SAME
J698,Pneumonitis due to inhalation of other solids and liquids,114,Aspiration and Specified Bacterial Pneumonias,282,Aspiration and Specified Bacterial Pneumonias,Yes,Yes,SAME
J700,Acute pulmonary manifestations due to radiation,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J701,Chronic and other pulmonary manifestations due to radiation,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J702,Acute drug-induced interstitial lung disorders,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J703,Chronic drug-induced interstitial lung disorders,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J704,"Drug-induced interstitial lung disorders, unspecified",112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J705,Respiratory conditions due to smoke inhalation,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J708,Respiratory conditions due to other specified external agents,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J709,Respiratory conditions due to unspecified external agent,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J80,Acute respiratory distress syndrome,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J810,Acute pulmonary edema,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J8281,Chronic eosinophilic pneumonia,111,Chronic Obstructive Pulmonary Disease,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8289,"Other pulmonary eosinophilia, not elsewhere classified",112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J8401,Alveolar proteinosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8402,Pulmonary alveolar microlithiasis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8403,Idiopathic pulmonary hemosiderosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8409,Other alveolar and parieto-alveolar conditions,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8410,"Pulmonary fibrosis, unspecified",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J84111,"Idiopathic interstitial pneumonia, not otherwise specified",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J84112,Idiopathic pulmonary fibrosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,278,Idiopathic Pulmonary Fibrosisand Lung Involvement in Systemic Sclerosis,Yes,Yes,NO
J84113,Idiopathic non-specific interstitial pneumonitis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J84114,Acute interstitial pneumonitis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J84115,Respiratory bronchiolitis interstitial lung disease,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J84116,Cryptogenic organizing pneumonia,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J84117,Desquamative interstitial pneumonia,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J84170,Interstitial lung disease with progressive fibrotic phenotype in diseases classified elsewhere,112,Fibrosis of Lung and Other Chronic Lung Disorders,278,Idiopathic Pulmonary Fibrosisand Lung Involvement in Systemic Sclerosis,Yes,Yes,NO
J84178,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J842,Lymphoid interstitial pneumonia,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8481,Lymphangioleiomyomatosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8482,Adult pulmonary Langerhans cell histiocytosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J8483,Surfactant mutations of the lung,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J84841,Neuroendocrine cell hyperplasia of infancy,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J84842,Pulmonary interstitial glycogenosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J84843,Alveolar capillary dysplasia with vein misalignment,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J84848,Other interstitial lung diseases of childhood,112,Fibrosis of Lung and Other Chronic Lung Disorders,,,Yes,No,NO
J8489,Other specified interstitial pulmonary diseases,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J849,"Interstitial pulmonary disease, unspecified",112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J850,Gangrene and necrosis of lung,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
J851,Abscess of lung with pneumonia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
J852,Abscess of lung without pneumonia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
J853,Abscess of mediastinum,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
J860,Pyothorax with fistula,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
J869,Pyothorax without fistula,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
J910,Malignant pleural effusion,,,17,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic",No,Yes,NO
J9500,Unspecified tracheostomy complication,82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J9501,Hemorrhage from tracheostomy stoma,82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J9502,Infection of tracheostomy stoma,82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J9503,Malfunction of tracheostomy stoma,82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J9504,Tracheo-esophageal fistula following tracheostomy,82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J9509,Other tracheostomy complication,82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J951,Acute pulmonary insufficiency following thoracic surgery,84,Cardio-Respiratory Failure and Shock,,,Yes,No,NO
J952,Acute pulmonary insufficiency following nonthoracic surgery,84,Cardio-Respiratory Failure and Shock,,,Yes,No,NO
J953,Chronic pulmonary insufficiency following surgery,84,Cardio-Respiratory Failure and Shock,,,Yes,No,NO
J95821,Acute postprocedural respiratory failure,84,Cardio-Respiratory Failure and Shock,,,Yes,No,NO
J95822,Acute and chronic postprocedural respiratory failure,84,Cardio-Respiratory Failure and Shock,,,Yes,No,NO
J95850,Mechanical complication of respirator,82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J95851,Ventilator associated pneumonia,114,Aspiration and Specified Bacterial Pneumonias,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J95859,Other complication of respirator [ventilator],82,Respirator Dependence/Tracheostomy Status,211,Respirator Dependence/Tracheostomy Status/Complications,Yes,Yes,NO
J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9601,Acute respiratory failure with hypoxia,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9602,Acute respiratory failure with hypercapnia,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9610,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9611,Chronic respiratory failure with hypoxia,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9612,Chronic respiratory failure with hypercapnia,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9620,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9621,Acute and chronic respiratory failure with hypoxia,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9622,Acute and chronic respiratory failure with hypercapnia,84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9690,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9691,"Respiratory failure, unspecified with hypoxia",84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J9692,"Respiratory failure, unspecified with hypercapnia",84,Cardio-Respiratory Failure and Shock,213,Cardio-Respiratory Failure and Shock,Yes,Yes,SAME
J982,Interstitial emphysema,111,Chronic Obstructive Pulmonary Disease,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J983,Compensatory emphysema,111,Chronic Obstructive Pulmonary Disease,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
J99,Respiratory disorders in diseases classified elsewhere,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
K251,Acute gastric ulcer with perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K252,Acute gastric ulcer with both hemorrhage and perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K255,Chronic or unspecified gastric ulcer with perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K256,Chronic or unspecified gastric ulcer with both hemorrhage and perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K261,Acute duodenal ulcer with perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K262,Acute duodenal ulcer with both hemorrhage and perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K265,Chronic or unspecified duodenal ulcer with perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K266,Chronic or unspecified duodenal ulcer with both hemorrhage and perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K271,"Acute peptic ulcer, site unspecified, with perforation",33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K272,"Acute peptic ulcer, site unspecified, with both hemorrhage and perforation",33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K275,"Chronic or unspecified peptic ulcer, site unspecified, with perforation",33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K276,"Chronic or unspecified peptic ulcer, site unspecified, with both hemorrhage and perforation",33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K281,Acute gastrojejunal ulcer with perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K282,Acute gastrojejunal ulcer with both hemorrhage and perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K285,Chronic or unspecified gastrojejunal ulcer with perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K286,Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K5000,Crohn's disease of small intestine without complications,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50011,Crohn's disease of small intestine with rectal bleeding,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50012,Crohn's disease of small intestine with intestinal obstruction,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K50012,Crohn's disease of small intestine with intestinal obstruction,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50013,Crohn's disease of small intestine with fistula,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50014,Crohn's disease of small intestine with abscess,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50018,Crohn's disease of small intestine with other complication,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50019,Crohn's disease of small intestine with unspecified complications,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K5010,Crohn's disease of large intestine without complications,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50111,Crohn's disease of large intestine with rectal bleeding,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50112,Crohn's disease of large intestine with intestinal obstruction,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K50112,Crohn's disease of large intestine with intestinal obstruction,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50113,Crohn's disease of large intestine with fistula,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50114,Crohn's disease of large intestine with abscess,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50118,Crohn's disease of large intestine with other complication,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50119,Crohn's disease of large intestine with unspecified complications,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K5080,Crohn's disease of both small and large intestine without complications,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50811,Crohn's disease of both small and large intestine with rectal bleeding,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50812,Crohn's disease of both small and large intestine with intestinal obstruction,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K50812,Crohn's disease of both small and large intestine with intestinal obstruction,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50813,Crohn's disease of both small and large intestine with fistula,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50814,Crohn's disease of both small and large intestine with abscess,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50818,Crohn's disease of both small and large intestine with other complication,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50819,Crohn's disease of both small and large intestine with unspecified complications,35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K5090,"Crohn's disease, unspecified, without complications",35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50911,"Crohn's disease, unspecified, with rectal bleeding",35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50912,"Crohn's disease, unspecified, with intestinal obstruction",33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K50912,"Crohn's disease, unspecified, with intestinal obstruction",35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50913,"Crohn's disease, unspecified, with fistula",35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50914,"Crohn's disease, unspecified, with abscess",35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50918,"Crohn's disease, unspecified, with other complication",35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K50919,"Crohn's disease, unspecified, with unspecified complications",35,Inflammatory Bowel Disease,80,Crohn's Disease (Regional Enteritis),Yes,Yes,NO
K5100,Ulcerative (chronic) pancolitis without complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51011,Ulcerative (chronic) pancolitis with rectal bleeding,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51012,Ulcerative (chronic) pancolitis with intestinal obstruction,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K51012,Ulcerative (chronic) pancolitis with intestinal obstruction,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51013,Ulcerative (chronic) pancolitis with fistula,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51014,Ulcerative (chronic) pancolitis with abscess,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51018,Ulcerative (chronic) pancolitis with other complication,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51019,Ulcerative (chronic) pancolitis with unspecified complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K5120,Ulcerative (chronic) proctitis without complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51211,Ulcerative (chronic) proctitis with rectal bleeding,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51212,Ulcerative (chronic) proctitis with intestinal obstruction,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K51212,Ulcerative (chronic) proctitis with intestinal obstruction,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51213,Ulcerative (chronic) proctitis with fistula,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51214,Ulcerative (chronic) proctitis with abscess,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51218,Ulcerative (chronic) proctitis with other complication,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51219,Ulcerative (chronic) proctitis with unspecified complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K5130,Ulcerative (chronic) rectosigmoiditis without complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51311,Ulcerative (chronic) rectosigmoiditis with rectal bleeding,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51312,Ulcerative (chronic) rectosigmoiditis with intestinal obstruction,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K51312,Ulcerative (chronic) rectosigmoiditis with intestinal obstruction,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51313,Ulcerative (chronic) rectosigmoiditis with fistula,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51314,Ulcerative (chronic) rectosigmoiditis with abscess,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51318,Ulcerative (chronic) rectosigmoiditis with other complication,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51319,Ulcerative (chronic) rectosigmoiditis with unspecified complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K5140,Inflammatory polyps of colon without complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51411,Inflammatory polyps of colon with rectal bleeding,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51412,Inflammatory polyps of colon with intestinal obstruction,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
K51412,Inflammatory polyps of colon with intestinal obstruction,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51413,Inflammatory polyps of colon with fistula,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51414,Inflammatory polyps of colon with abscess,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51418,Inflammatory polyps of colon with other complication,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
K51419,Inflammatory polyps of colon with unspecified complications,35,Inflammatory Bowel Disease,81,Ulcerative Colitis,Yes,Yes,NO
